season,date,home_team,away_team,scorer,scorer_team,goals
20152016,2016-02-23,Toronto Maple Leafs,Nashville Predators,Filip Forsberg,Nashville Predators,3
20152016,2016-02-25,Columbus Blue Jackets,New Jersey Devils,Nick Foligno,Columbus Blue Jackets,3
20152016,2016-02-27,Nashville Predators,St. Louis Blues,Filip Forsberg,Nashville Predators,3
20152016,2016-02-27,Calgary Flames,Ottawa Senators,Mika Zibanejad,Ottawa Senators,3
20152016,2016-02-28,Anaheim Ducks,Los Angeles Kings,Corey Perry,Anaheim Ducks,3
20152016,2016-02-29,Philadelphia Flyers,Calgary Flames,Brayden Schenn,Philadelphia Flyers,3
20152016,2016-02-29,Pittsburgh Penguins,Arizona Coyotes,Patric Hornqvist,Pittsburgh Penguins,3
20152016,2016-03-05,Winnipeg Jets,Montréal Canadiens,Mark Scheifele,Winnipeg Jets,3
20152016,2016-03-14,Calgary Flames,St. Louis Blues,Michael Frolik,Calgary Flames,3
20152016,2016-03-14,Edmonton Oilers,Nashville Predators,James Neal,Nashville Predators,3
20152016,2016-03-14,Anaheim Ducks,New Jersey Devils,Jakob Silfverberg,Anaheim Ducks,3
20152016,2016-03-24,Minnesota Wild,Calgary Flames,Zach Parise,Minnesota Wild,3
20152016,2016-03-29,Florida Panthers,Toronto Maple Leafs,Nazem Kadri,Toronto Maple Leafs,3
20152016,2016-03-29,Vancouver Canucks,San Jose Sharks,Logan Couture,San Jose Sharks,3
20152016,2016-04-02,Carolina Hurricanes,Columbus Blue Jackets,Brandon Saad,Columbus Blue Jackets,3
20152016,2016-04-03,Chicago Blackhawks,Boston Bruins,Patrick Kane,Chicago Blackhawks,3
20152016,2016-04-07,Calgary Flames,Vancouver Canucks,Mikael Backlund,Calgary Flames,3
20152016,2016-04-09,St. Louis Blues,Washington Capitals,Alex Ovechkin,Washington Capitals,3
20152016,2016-04-09,Dallas Stars,Nashville Predators,Jason Spezza,Dallas Stars,3
20162017,2016-10-12,Ottawa Senators,Toronto Maple Leafs,Auston Matthews,Toronto Maple Leafs,4
20162017,2016-10-15,Chicago Blackhawks,Nashville Predators,Richard Panik,Chicago Blackhawks,3
20162017,2016-10-15,Colorado Avalanche,Dallas Stars,Joe Colborne,Colorado Avalanche,3
20162017,2016-10-17,Detroit Red Wings,Ottawa Senators,Mike Green,Detroit Red Wings,3
20162017,2016-10-19,Winnipeg Jets,Toronto Maple Leafs,Patrik Laine,Winnipeg Jets,3
20162017,2016-10-22,Calgary Flames,St. Louis Blues,David Perron,St. Louis Blues,3
20162017,2016-10-30,Detroit Red Wings,Florida Panthers,Colton Sceviour,Florida Panthers,3
20162017,2016-10-30,New York Rangers,Tampa Bay Lightning,Michael Grabner,New York Rangers,3
20162017,2016-11-06,Carolina Hurricanes,New Jersey Devils,Michael Cammalleri,New Jersey Devils,3
20162017,2016-11-08,Winnipeg Jets,Dallas Stars,Patrik Laine,Winnipeg Jets,3
20162017,2016-11-15,Toronto Maple Leafs,Nashville Predators,James van Riemsdyk,Toronto Maple Leafs,3
20162017,2016-11-19,Dallas Stars,Edmonton Oilers,Connor McDavid,Edmonton Oilers,3
20162017,2016-11-23,Washington Capitals,St. Louis Blues,Alex Ovechkin,Washington Capitals,3
20162017,2016-11-29,Ottawa Senators,Buffalo Sabres,Mike Hoffman,Ottawa Senators,3
20162017,2016-12-01,St. Louis Blues,Tampa Bay Lightning,Vladimir Tarasenko,St. Louis Blues,3
20162017,2016-12-01,Chicago Blackhawks,New Jersey Devils,Travis Zajac,New Jersey Devils,3
20162017,2016-12-05,Pittsburgh Penguins,Ottawa Senators,Bryan Rust,Pittsburgh Penguins,3
20162017,2016-12-10,Philadelphia Flyers,Dallas Stars,Brayden Schenn,Philadelphia Flyers,3
20162017,2016-12-10,Montréal Canadiens,Colorado Avalanche,Max Pacioretty,Montréal Canadiens,4
20162017,2016-12-17,Detroit Red Wings,Anaheim Ducks,Tomas Tatar,Detroit Red Wings,3
20162017,2016-12-22,Columbus Blue Jackets,Pittsburgh Penguins,Scott Hartnell,Columbus Blue Jackets,3
20162017,2016-12-28,St. Louis Blues,Philadelphia Flyers,Robby Fabbri,St. Louis Blues,3
20162017,2016-12-29,Arizona Coyotes,New York Rangers,Matt Puempel,New York Rangers,3
20162017,2016-12-31,Colorado Avalanche,New York Rangers,Chris Kreider,New York Rangers,3
20162017,2017-01-01,Anaheim Ducks,Philadelphia Flyers,Ryan Kesler,Anaheim Ducks,3
20162017,2017-01-05,Boston Bruins,Edmonton Oilers,Patrick Maroon,Edmonton Oilers,3
20162017,2017-01-05,Tampa Bay Lightning,Nashville Predators,Colton Sissons,Nashville Predators,3
20162017,2017-01-07,Columbus Blue Jackets,New York Rangers,Michael Grabner,New York Rangers,3
20162017,2017-01-08,Chicago Blackhawks,Nashville Predators,Ryan Hartman,Chicago Blackhawks,3
20162017,2017-01-10,Edmonton Oilers,San Jose Sharks,Mikkel Boedker,San Jose Sharks,3
20162017,2017-01-13,Florida Panthers,New York Islanders,John Tavares,New York Islanders,3
20162017,2017-01-16,Pittsburgh Penguins,Washington Capitals,Evgeni Malkin,Pittsburgh Penguins,3
20162017,2017-01-23,Colorado Avalanche,San Jose Sharks,Patrick Marleau,San Jose Sharks,4
20162017,2017-01-31,Carolina Hurricanes,Philadelphia Flyers,Sebastian Aho,Carolina Hurricanes,3
20162017,2017-01-31,Montréal Canadiens,Buffalo Sabres,Max Pacioretty,Montréal Canadiens,3
20162017,2017-02-04,Boston Bruins,Toronto Maple Leafs,William Nylander,Toronto Maple Leafs,3
20162017,2017-02-04,Vancouver Canucks,Minnesota Wild,Mikael Granlund,Minnesota Wild,3
20162017,2017-02-07,Colorado Avalanche,Montréal Canadiens,Mikko Rantanen,Colorado Avalanche,3
20162017,2017-02-11,Nashville Predators,Florida Panthers,Viktor Arvidsson,Nashville Predators,3
20162017,2017-02-11,Montréal Canadiens,St. Louis Blues,Patrik Berglund,St. Louis Blues,3
20162017,2017-02-14,Winnipeg Jets,Dallas Stars,Patrik Laine,Winnipeg Jets,3
20162017,2017-02-18,Dallas Stars,Tampa Bay Lightning,Antoine Roussel,Dallas Stars,3
20162017,2017-02-21,Nashville Predators,Calgary Flames,Filip Forsberg,Nashville Predators,3
20162017,2017-02-21,Minnesota Wild,Chicago Blackhawks,Jonathan Toews,Chicago Blackhawks,3
20162017,2017-02-23,Nashville Predators,Colorado Avalanche,Filip Forsberg,Nashville Predators,3
20162017,2017-02-23,Chicago Blackhawks,Arizona Coyotes,Patrick Kane,Chicago Blackhawks,3
20162017,2017-02-27,Tampa Bay Lightning,Ottawa Senators,Nikita Kucherov,Tampa Bay Lightning,3
20162017,2017-03-01,Chicago Blackhawks,Pittsburgh Penguins,Patrick Kane,Chicago Blackhawks,3
20162017,2017-03-08,Winnipeg Jets,Pittsburgh Penguins,Nick Bonino,Pittsburgh Penguins,3
20162017,2017-03-13,New York Islanders,Carolina Hurricanes,Jaccob Slavin,Carolina Hurricanes,3
20162017,2017-03-13,Vancouver Canucks,Boston Bruins,Brad Marchand,Boston Bruins,3
