season,date,home_team,away_team,scorer,scorer_team,goals
20112012,2012-03-20,Nashville Predators,Edmonton Oilers,Ales Hemsky,Edmonton Oilers,3
20112012,2012-03-23,Montréal Canadiens,Ottawa Senators,Erik Cole,Montréal Canadiens,3
20112012,2012-03-29,New Jersey Devils,Tampa Bay Lightning,Ryan Malone,Tampa Bay Lightning,3
20112012,2012-04-05,Colorado Avalanche,Columbus Blue Jackets,Cam Atkinson,Columbus Blue Jackets,3
20112012,2012-04-07,Winnipeg Jets,Tampa Bay Lightning,Teddy Purcell,Tampa Bay Lightning,3
20122013,2013-01-23,New York Rangers,Boston Bruins,Marian Gaborik,New York Rangers,3
20122013,2013-01-23,Phoenix Coyotes,Columbus Blue Jackets,Steve Sullivan,Phoenix Coyotes,3
20122013,2013-01-24,Carolina Hurricanes,Buffalo Sabres,Eric Staal,Carolina Hurricanes,3
20122013,2013-01-26,Florida Panthers,Philadelphia Flyers,Matt Read,Philadelphia Flyers,3
20122013,2013-01-31,Boston Bruins,Buffalo Sabres,Thomas Vanek,Buffalo Sabres,3
20122013,2013-02-01,Detroit Red Wings,St. Louis Blues,Henrik Zetterberg,Detroit Red Wings,3
20122013,2013-02-02,Anaheim Ducks,Los Angeles Kings,Nick Bonino,Anaheim Ducks,3
20122013,2013-02-03,Washington Capitals,Pittsburgh Penguins,Chris Kunitz,Pittsburgh Penguins,4
20122013,2013-02-13,Calgary Flames,Dallas Stars,Michael Cammalleri,Calgary Flames,3
20122013,2013-02-16,New York Islanders,New Jersey Devils,John Tavares,New York Islanders,3
20122013,2013-02-20,Pittsburgh Penguins,Philadelphia Flyers,Jakub Voracek,Philadelphia Flyers,3
20122013,2013-02-23,Washington Capitals,New Jersey Devils,Alex Ovechkin,Washington Capitals,3
20122013,2013-02-26,Florida Panthers,Pittsburgh Penguins,Tomas Kopecky,Florida Panthers,3
20122013,2013-02-27,Anaheim Ducks,Nashville Predators,Kyle Palmieri,Anaheim Ducks,3
20122013,2013-02-28,New York Islanders,Toronto Maple Leafs,Nazem Kadri,Toronto Maple Leafs,3
20122013,2013-03-02,Phoenix Coyotes,Anaheim Ducks,Andrew Cogliano,Anaheim Ducks,3
20122013,2013-03-04,Los Angeles Kings,Nashville Predators,Jeff Carter,Los Angeles Kings,3
20122013,2013-03-09,San Jose Sharks,St. Louis Blues,Vladimir Sobotka,St. Louis Blues,3
20122013,2013-03-10,Pittsburgh Penguins,New York Islanders,Chris Kunitz,Pittsburgh Penguins,3
20122013,2013-03-15,Calgary Flames,Nashville Predators,Curtis Glencross,Calgary Flames,3
20122013,2013-03-22,Anaheim Ducks,Detroit Red Wings,Justin Abdelkader,Detroit Red Wings,3
20122013,2013-03-30,Ottawa Senators,Toronto Maple Leafs,Nazem Kadri,Toronto Maple Leafs,3
20122013,2013-03-30,Edmonton Oilers,Vancouver Canucks,Taylor Hall,Edmonton Oilers,3
20122013,2013-04-02,Carolina Hurricanes,Washington Capitals,Jiri Tlusty,Carolina Hurricanes,3
20122013,2013-04-06,Florida Panthers,Washington Capitals,Alex Ovechkin,Washington Capitals,3
20122013,2013-04-15,Montréal Canadiens,Philadelphia Flyers,Scott Hartnell,Philadelphia Flyers,3
20122013,2013-04-19,Buffalo Sabres,New York Rangers,Brad Richards,New York Rangers,3
20122013,2013-04-20,Carolina Hurricanes,Philadelphia Flyers,Wayne Simmonds,Philadelphia Flyers,3
20122013,2013-04-24,Tampa Bay Lightning,Toronto Maple Leafs,Martin St. Louis,Tampa Bay Lightning,3
20122013,2013-04-27,Pittsburgh Penguins,Carolina Hurricanes,James Neal,Pittsburgh Penguins,3
20122013,2013-04-27,Anaheim Ducks,Phoenix Coyotes,Radim Vrbata,Phoenix Coyotes,3
20122013,2013-04-27,Edmonton Oilers,Vancouver Canucks,Nail Yakupov,Edmonton Oilers,3
20132014,2013-10-01,Chicago Blackhawks,Washington Capitals,Mikhail Grabovski,Washington Capitals,3
20132014,2013-10-03,Phoenix Coyotes,New York Rangers,Radim Vrbata,Phoenix Coyotes,3
20132014,2013-10-08,Pittsburgh Penguins,Carolina Hurricanes,Jussi Jokinen,Pittsburgh Penguins,3
20132014,2013-10-08,San Jose Sharks,New York Rangers,Tomas Hertl,San Jose Sharks,4
20132014,2013-10-10,Tampa Bay Lightning,Florida Panthers,Steven Stamkos,Tampa Bay Lightning,3
20132014,2013-10-12,Tampa Bay Lightning,Pittsburgh Penguins,Sidney Crosby,Pittsburgh Penguins,3
20132014,2013-10-15,Phoenix Coyotes,Ottawa Senators,Jason Spezza,Ottawa Senators,3
20132014,2013-10-22,Toronto Maple Leafs,Anaheim Ducks,Phil Kessel,Toronto Maple Leafs,3
20132014,2013-10-24,Los Angeles Kings,Phoenix Coyotes,Dwight King,Los Angeles Kings,3
